id,input,output,example_id
0," nums = [2,7,11,15], target = 9"," [0,1]"," 1:
"
0," nums = [3,2,4], target = 6"," [1,2]"," 2:
"
0," nums = [3,3], target = 6"," [0,1]"," 3:
"
1," nums = [2,7,11,15], target = 9"," [0,1]"," 1:
"
1," nums = [3,2,4], target = 6"," [1,2]"," 2:
"
1," nums = [3,3], target = 6"," [0,1]"," 3:
"
2," nums = [2,7,11,15], target = 9"," [0,1]"," 1:
"
2," nums = [3,2,4], target = 6"," [1,2]"," 2:
"
2," nums = [3,3], target = 6"," [0,1]"," 3:
"
3," nums = [2,7,11,15], target = 9"," [0,1]"," 1:
"
3," nums = [3,2,4], target = 6"," [1,2]"," 2:
"
3," nums = [3,3], target = 6"," [0,1]"," 3:
"
4," l1 = [2,4,3], l2 = [5,6,4]"," [7,0,8]"," 1:
"
4," l1 = [0], l2 = [0]", [0]," 2:
"
4," l1 = [9,9,9,9,9,9,9], l2 = [9,9,9,9]"," [8,9,9,9,0,0,0,1]"," 3:
"
5," l1 = [2,4,3], l2 = [5,6,4]"," [7,0,8]"," 1:
"
5," l1 = [0], l2 = [0]", [0]," 2:
"
5," l1 = [9,9,9,9,9,9,9], l2 = [9,9,9,9]"," [8,9,9,9,0,0,0,1]"," 3:
"
6," l1 = [2,4,3], l2 = [5,6,4]"," [7,0,8]"," 1:
"
6," l1 = [0], l2 = [0]", [0]," 2:
"
6," l1 = [9,9,9,9,9,9,9], l2 = [9,9,9,9]"," [8,9,9,9,0,0,0,1]"," 3:
"
7," l1 = [2,4,3], l2 = [5,6,4]"," [7,0,8]"," 1:
"
7," l1 = [0], l2 = [0]", [0]," 2:
"
7," l1 = [9,9,9,9,9,9,9], l2 = [9,9,9,9]"," [8,9,9,9,0,0,0,1]"," 3:
"
8," s = ""abcabcbb""", 3," 1:
"
8," s = ""bbbbb""", 1," 2:
"
8," s = ""pwwkew""", 3," 3:
"
8," s = """"", 0," 4:
"
9," s = ""abcabcbb""", 3," 1:
"
9," s = ""bbbbb""", 1," 2:
"
9," s = ""pwwkew""", 3," 3:
"
9," s = """"", 0," 4:
"
10," s = ""abcabcbb""", 3," 1:
"
10," s = ""bbbbb""", 1," 2:
"
10," s = ""pwwkew""", 3," 3:
"
10," s = """"", 0," 4:
"
11," s = ""abcabcbb""", 3," 1:
"
11," s = ""bbbbb""", 1," 2:
"
11," s = ""pwwkew""", 3," 3:
"
11," s = """"", 0," 4:
"
12," nums1 = [1,3], nums2 = [2]", 2.00000," 1:
"
12," nums1 = [1,2], nums2 = [3,4]", 2.50000," 2:
"
12," nums1 = [0,0], nums2 = [0,0]", 0.00000," 3:
"
12," nums1 = [], nums2 = [1]", 1.00000," 4:
"
12," nums1 = [2], nums2 = []", 2.00000," 5:
"
13," nums1 = [1,3], nums2 = [2]", 2.00000," 1:
"
13," nums1 = [1,2], nums2 = [3,4]", 2.50000," 2:
"
13," nums1 = [0,0], nums2 = [0,0]", 0.00000," 3:
"
13," nums1 = [], nums2 = [1]", 1.00000," 4:
"
13," nums1 = [2], nums2 = []", 2.00000," 5:
"
14," nums1 = [1,3], nums2 = [2]", 2.00000," 1:
"
14," nums1 = [1,2], nums2 = [3,4]", 2.50000," 2:
"
14," nums1 = [0,0], nums2 = [0,0]", 0.00000," 3:
"
14," nums1 = [], nums2 = [1]", 1.00000," 4:
"
14," nums1 = [2], nums2 = []", 2.00000," 5:
"
15," nums1 = [1,3], nums2 = [2]", 2.00000," 1:
"
15," nums1 = [1,2], nums2 = [3,4]", 2.50000," 2:
"
15," nums1 = [0,0], nums2 = [0,0]", 0.00000," 3:
"
15," nums1 = [], nums2 = [1]", 1.00000," 4:
"
15," nums1 = [2], nums2 = []", 2.00000," 5:
"
16," s = ""babad"""," ""bab"""," 1:
"
16," s = ""cbbd"""," ""bb"""," 2:
"
16," s = ""a"""," ""a"""," 3:
"
16," s = ""ac"""," ""a"""," 4:
"
17," s = ""babad"""," ""bab"""," 1:
"
17," s = ""cbbd"""," ""bb"""," 2:
"
17," s = ""a"""," ""a"""," 3:
"
17," s = ""ac"""," ""a"""," 4:
"
18," s = ""babad"""," ""bab"""," 1:
"
18," s = ""cbbd"""," ""bb"""," 2:
"
18," s = ""a"""," ""a"""," 3:
"
18," s = ""ac"""," ""a"""," 4:
"
19," s = ""babad"""," ""bab"""," 1:
"
19," s = ""cbbd"""," ""bb"""," 2:
"
19," s = ""a"""," ""a"""," 3:
"
19," s = ""ac"""," ""a"""," 4:
"
20," s = ""PAYPALISHIRING"", numRows = 3"," ""PAHNAPLSIIGYIR"""," 1:
"
20," s = ""PAYPALISHIRING"", numRows = 4"," ""PINALSIGYAHRPI"""," 2:
"
20," s = ""A"", numRows = 1"," ""A"""," 3:
"
